state,sa4_code,Age,Sex,Indig,Educ,unemployed,employed,total
NSW,1,40-44 years,Fema,Non-Indigenous,Degree = No,154,3352,3506
NSW,1,40-44 years,Fema,Non-Indigenous,Degree = Yes,32,1742,1774
NSW,1,40-44 years,Fema,Not stated,Degree = No,0,27,27
NSW,1,40-44 years,Fema,Not stated,Degree = Yes,0,11,11
NSW,1,40-44 years,Fema,Yes Indigenous,Degree = No,25,93,118
NSW,1,40-44 years,Fema,Yes Indigenous,Degree = Yes,0,26,26
NSW,1,40-44 years,Male,Non-Indigenous,Degree = No,165,4066,4231
NSW,1,40-44 years,Male,Non-Indigenous,Degree = Yes,14,1217,1231
NSW,1,40-44 years,Male,Not stated,Degree = No,4,27,31
NSW,1,40-44 years,Male,Yes Indigenous,Degree = No,23,112,135
NSW,1,40-44 years,Male,Yes Indigenous,Degree = Yes,0,11,11
NSW,1,45-49 years,Fema,Non-Indigenous,Degree = No,140,4140,4280
NSW,1,45-49 years,Fema,Non-Indigenous,Degree = Yes,27,1762,1789
NSW,1,45-49 years,Fema,Not stated,Degree = No,0,18,18
NSW,1,45-49 years,Fema,Not stated,Degree = Yes,0,6,6
NSW,1,45-49 years,Fema,Yes Indigenous,Degree = No,5,99,104
NSW,1,45-49 years,Fema,Yes Indigenous,Degree = Yes,5,26,31
NSW,1,45-49 years,Male,Non-Indigenous,Degree = No,171,4431,4602
NSW,1,45-49 years,Male,Non-Indigenous,Degree = Yes,23,1191,1214
NSW,1,45-49 years,Male,Not stated,Degree = No,6,26,32
NSW,1,45-49 years,Male,Not stated,Degree = Yes,0,3,3
NSW,1,45-49 years,Male,Yes Indigenous,Degree = No,4,111,115
NSW,1,45-49 years,Male,Yes Indigenous,Degree = Yes,0,12,12
NSW,1,50-54 years,Fema,Non-Indigenous,Degree = No,143,4306,4449
NSW,1,50-54 years,Fema,Non-Indigenous,Degree = Yes,37,1429,1466
NSW,1,50-54 years,Fema,Not stated,Degree = No,0,27,27
NSW,1,50-54 years,Fema,Not stated,Degree = Yes,0,13,13
NSW,1,50-54 years,Fema,Yes Indigenous,Degree = No,0,85,85
NSW,1,50-54 years,Fema,Yes Indigenous,Degree = Yes,0,16,16
NSW,1,50-54 years,Male,Non-Indigenous,Degree = No,198,4789,4987
NSW,1,50-54 years,Male,Non-Indigenous,Degree = Yes,25,1109,1134
NSW,1,50-54 years,Male,Not stated,Degree = No,3,41,44
NSW,1,50-54 years,Male,Yes Indigenous,Degree = No,3,90,93
NSW,1,50-54 years,Male,Yes Indigenous,Degree = Yes,0,7,7
NSW,1,55-59 years,Fema,Non-Indigenous,Degree = No,142,3755,3897
NSW,1,55-59 years,Fema,Non-Indigenous,Degree = Yes,20,1345,1365
NSW,1,55-59 years,Fema,Not stated,Degree = No,0,17,17
NSW,1,55-59 years,Fema,Yes Indigenous,Degree = No,0,52,52
NSW,1,55-59 years,Fema,Yes Indigenous,Degree = Yes,0,27,27
NSW,1,55-59 years,Male,Non-Indigenous,Degree = No,208,4520,4728
NSW,1,55-59 years,Male,Non-Indigenous,Degree = Yes,36,997,1033
NSW,1,55-59 years,Male,Not stated,Degree = No,0,47,47
NSW,1,55-59 years,Male,Not stated,Degree = Yes,0,4,4
NSW,1,55-59 years,Male,Yes Indigenous,Degree = No,5,56,61
NSW,1,55-59 years,Male,Yes Indigenous,Degree = Yes,0,5,5
NSW,1,60-64 years,Fema,Non-Indigenous,Degree = No,103,2514,2617
NSW,1,60-64 years,Fema,Non-Indigenous,Degree = Yes,32,871,903
NSW,1,60-64 years,Fema,Not stated,Degree = No,0,13,13
NSW,1,60-64 years,Fema,Yes Indigenous,Degree = No,3,39,42
NSW,1,60-64 years,Fema,Yes Indigenous,Degree = Yes,0,3,3
NSW,1,60-64 years,Male,Non-Indigenous,Degree = No,201,3214,3415
NSW,1,60-64 years,Male,Non-Indigenous,Degree = Yes,38,768,806
NSW,1,60-64 years,Male,Not stated,Degree = No,0,37,37
NSW,1,60-64 years,Male,Not stated,Degree = Yes,0,5,5
NSW,1,60-64 years,Male,Yes Indigenous,Degree = No,0,41,41
NSW,1,60-64 years,Male,Yes Indigenous,Degree = Yes,0,7,7
NSW,2,25-29 years,Fema,Non-Indigenous,Degree = No,345,3863,4208
NSW,2,25-29 years,Fema,Non-Indigenous,Degree = Yes,51,1847,1898
NSW,2,25-29 years,Fema,Not stated,Degree = No,0,20,20
NSW,2,25-29 years,Fema,Not stated,Degree = Yes,0,11,11
NSW,2,25-29 years,Fema,Yes Indigenous,Degree = No,24,184,208
NSW,2,25-29 years,Fema,Yes Indigenous,Degree = Yes,0,34,34
NSW,2,25-29 years,Male,Non-Indigenous,Degree = No,418,5313,5731
NSW,2,25-29 years,Male,Non-Indigenous,Degree = Yes,44,1041,1085
NSW,2,25-29 years,Male,Not stated,Degree = No,3,24,27
NSW,2,25-29 years,Male,Not stated,Degree = Yes,0,4,4
NSW,2,25-29 years,Male,Yes Indigenous,Degree = No,40,276,316
NSW,2,25-29 years,Male,Yes Indigenous,Degree = Yes,0,12,12
NSW,2,30-34 years,Fema,Non-Indigenous,Degree = No,331,3876,4207
NSW,2,30-34 years,Fema,Non-Indigenous,Degree = Yes,62,2186,2248
NSW,2,30-34 years,Fema,Not stated,Degree = No,0,27,27
NSW,2,30-34 years,Fema,Not stated,Degree = Yes,0,4,4
NSW,2,30-34 years,Fema,Yes Indigenous,Degree = No,15,143,158
NSW,2,30-34 years,Fema,Yes Indigenous,Degree = Yes,0,43,43
NSW,2,30-34 years,Male,Non-Indigenous,Degree = No,303,5561,5864
NSW,2,30-34 years,Male,Non-Indigenous,Degree = Yes,36,1372,1408
NSW,2,30-34 years,Male,Not stated,Degree = No,3,49,52
NSW,2,30-34 years,Male,Not stated,Degree = Yes,0,3,3
NSW,2,30-34 years,Male,Yes Indigenous,Degree = No,23,221,244
NSW,2,30-34 years,Male,Yes Indigenous,Degree = Yes,0,15,15
NSW,2,35-39 years,Fema,Non-Indigenous,Degree = No,324,4133,4457
NSW,2,35-39 years,Fema,Non-Indigenous,Degree = Yes,69,2153,2222
NSW,2,35-39 years,Fema,Not stated,Degree = No,0,11,11
NSW,2,35-39 years,Fema,Not stated,Degree = Yes,0,4,4
NSW,2,35-39 years,Fema,Yes Indigenous,Degree = No,23,153,176
NSW,2,35-39 years,Fema,Yes Indigenous,Degree = Yes,0,40,40
NSW,2,35-39 years,Male,Non-Indigenous,Degree = No,261,5704,5965
NSW,2,35-39 years,Male,Non-Indigenous,Degree = Yes,21,1439,1460
NSW,2,35-39 years,Male,Not stated,Degree = No,0,27,27
NSW,2,35-39 years,Male,Not stated,Degree = Yes,0,7,7
NSW,2,35-39 years,Male,Yes Indigenous,Degree = No,27,182,209
NSW,2,35-39 years,Male,Yes Indigenous,Degree = Yes,0,16,16
NSW,2,40-44 years,Fema,Non-Indigenous,Degree = No,332,5254,5586
NSW,2,40-44 years,Fema,Non-Indigenous,Degree = Yes,84,2223,2307
NSW,2,40-44 years,Fema,Not stated,Degree = No,0,30,30
NSW,2,40-44 years,Fema,Not stated,Degree = Yes,0,15,15
NSW,2,40-44 years,Fema,Yes Indigenous,Degree = No,12,136,148
NSW,2,40-44 years,Fema,Yes Indigenous,Degree = Yes,0,47,47
NSW,2,40-44 years,Male,Non-Indigenous,Degree = No,313,6340,6653
NSW,2,40-44 years,Male,Non-Indigenous,Degree = Yes,36,1593,1629
NSW,2,40-44 years,Male,Not stated,Degree = No,5,33,38
NSW,2,40-44 years,Male,Yes Indigenous,Degree = No,25,167,192
NSW,2,40-44 years,Male,Yes Indigenous,Degree = Yes,0,18,18
NSW,2,45-49 years,Fema,Non-Indigenous,Degree = No,327,6030,6357
NSW,2,45-49 years,Fema,Non-Indigenous,Degree = Yes,62,1950,2012
NSW,2,45-49 years,Fema,Not stated,Degree = No,0,47,47
NSW,2,45-49 years,Fema,Not stated,Degree = Yes,0,11,11
NSW,2,45-49 years,Fema,Yes Indigenous,Degree = No,8,181,189
NSW,2,45-49 years,Fema,Yes Indigenous,Degree = Yes,0,28,28
NSW,2,45-49 years,Male,Non-Indigenous,Degree = No,324,6642,6966
NSW,2,45-49 years,Male,Non-Indigenous,Degree = Yes,41,1348,1389
NSW,2,45-49 years,Male,Not stated,Degree = No,0,43,43
NSW,2,45-49 years,Male,Yes Indigenous,Degree = No,13,163,176
NSW,2,45-49 years,Male,Yes Indigenous,Degree = Yes,0,16,16
NSW,2,50-54 years,Fema,Non-Indigenous,Degree = No,356,6044,6400
NSW,2,50-54 years,Fema,Non-Indigenous,Degree = Yes,54,1608,1662
NSW,2,50-54 years,Fema,Not stated,Degree = No,0,48,48
NSW,2,50-54 years,Fema,Not stated,Degree = Yes,0,3,3
NSW,2,50-54 years,Fema,Yes Indigenous,Degree = No,25,170,195
NSW,2,50-54 years,Fema,Yes Indigenous,Degree = Yes,0,21,21
NSW,2,50-54 years,Male,Non-Indigenous,Degree = No,346,6750,7096
NSW,2,50-54 years,Male,Non-Indigenous,Degree = Yes,50,1189,1239
NSW,2,50-54 years,Male,Not stated,Degree = No,0,37,37
NSW,2,50-54 years,Male,Yes Indigenous,Degree = No,11,157,168
NSW,2,50-54 years,Male,Yes Indigenous,Degree = Yes,0,15,15
NSW,2,55-59 years,Fema,Non-Indigenous,Degree = No,300,5509,5809
NSW,2,55-59 years,Fema,Non-Indigenous,Degree = Yes,35,1539,1574
NSW,2,55-59 years,Fema,Not stated,Degree = No,0,34,34
NSW,2,55-59 years,Fema,Not stated,Degree = Yes,0,3,3
NSW,2,55-59 years,Fema,Yes Indigenous,Degree = No,0,107,107
NSW,2,55-59 years,Fema,Yes Indigenous,Degree = Yes,0,11,11
NSW,2,55-59 years,Male,Non-Indigenous,Degree = No,335,5984,6319
NSW,2,55-59 years,Male,Non-Indigenous,Degree = Yes,63,1126,1189
NSW,2,55-59 years,Male,Not stated,Degree = No,0,43,43
NSW,2,55-59 years,Male,Yes Indigenous,Degree = No,4,109,113
NSW,2,55-59 years,Male,Yes Indigenous,Degree = Yes,0,13,13
NSW,2,60-64 years,Fema,Non-Indigenous,Degree = No,173,3476,3649
NSW,2,60-64 years,Fema,Non-Indigenous,Degree = Yes,38,913,951
NSW,2,60-64 years,Fema,Not stated,Degree = No,0,27,27
NSW,2,60-64 years,Fema,Yes Indigenous,Degree = No,0,35,35
NSW,2,60-64 years,Fema,Yes Indigenous,Degree = Yes,0,8,8
NSW,2,60-64 years,Male,Non-Indigenous,Degree = No,307,3919,4226
NSW,2,60-64 years,Male,Non-Indigenous,Degree = Yes,59,881,940
NSW,2,60-64 years,Male,Not stated,Degree = No,0,33,33
NSW,2,60-64 years,Male,Yes Indigenous,Degree = No,8,50,58
NSW,2,60-64 years,Male,Yes Indigenous,Degree = Yes,0,4,4
NSW,3,25-29 years,Fema,Non-Indigenous,Degree = No,197,2143,2340
NSW,3,25-29 years,Fema,Non-Indigenous,Degree = Yes,22,1252,1274
NSW,3,25-29 years,Fema,Not stated,Degree = No,0,15,15
NSW,3,25-29 years,Fema,Yes Indigenous,Degree = No,36,181,217
NSW,3,25-29 years,Fema,Yes Indigenous,Degree = Yes,0,16,16
NSW,3,25-29 years,Male,Non-Indigenous,Degree = No,229,3398,3627
NSW,3,25-29 years,Male,Non-Indigenous,Degree = Yes,23,600,623
NSW,3,25-29 years,Male,Not stated,Degree = No,0,32,32
NSW,3,25-29 years,Male,Not stated,Degree = Yes,0,3,3
NSW,3,25-29 years,Male,Yes Indigenous,Degree = No,48,245,293
NSW,3,25-29 years,Male,Yes Indigenous,Degree = Yes,0,7,7
NSW,3,30-34 years,Fema,Non-Indigenous,Degree = No,169,2254,2423
NSW,3,30-34 years,Fema,Non-Indigenous,Degree = Yes,31,1393,1424
NSW,3,30-34 years,Fema,Not stated,Degree = No,0,7,7
NSW,3,30-34 years,Fema,Not stated,Degree = Yes,0,5,5
NSW,3,30-34 years,Fema,Yes Indigenous,Degree = No,35,148,183
NSW,3,30-34 years,Fema,Yes Indigenous,Degree = Yes,0,40,40
NSW,3,30-34 years,Male,Non-Indigenous,Degree = No,201,3454,3655
NSW,3,30-34 years,Male,Non-Indigenous,Degree = Yes,15,751,766
NSW,3,30-34 years,Male,Not stated,Degree = No,0,31,31
NSW,3,30-34 years,Male,Not stated,Degree = Yes,0,3,3
NSW,3,30-34 years,Male,Yes Indigenous,Degree = No,33,169,202
NSW,3,30-34 years,Male,Yes Indigenous,Degree = Yes,0,7,7
NSW,3,35-39 years,Fema,Non-Indigenous,Degree = No,196,2284,2480
NSW,3,35-39 years,Fema,Non-Indigenous,Degree = Yes,20,1370,1390
NSW,3,35-39 years,Fema,Not stated,Degree = No,0,16,16
NSW,3,35-39 years,Fema,Not stated,Degree = Yes,0,5,5
NSW,3,35-39 years,Fema,Yes Indigenous,Degree = No,34,134,168
NSW,3,35-39 years,Fema,Yes Indigenous,Degree = Yes,0,16,16
NSW,3,35-39 years,Male,Non-Indigenous,Degree = No,180,3270,3450
NSW,3,35-39 years,Male,Non-Indigenous,Degree = Yes,12,719,731
NSW,3,35-39 years,Male,Not stated,Degree = No,0,31,31
NSW,3,35-39 years,Male,Not stated,Degree = Yes,0,4,4
NSW,3,35-39 years,Male,Yes Indigenous,Degree = No,20,153,173
NSW,3,35-39 years,Male,Yes Indigenous,Degree = Yes,0,4,4
NSW,3,40-44 years,Fema,Non-Indigenous,Degree = No,158,2947,3105
NSW,3,40-44 years,Fema,Non-Indigenous,Degree = Yes,24,1391,1415
NSW,3,40-44 years,Fema,Not stated,Degree = No,0,17,17
NSW,3,40-44 years,Fema,Not stated,Degree = Yes,0,3,3
NSW,3,40-44 years,Fema,Yes Indigenous,Degree = No,33,173,206
NSW,3,40-44 years,Fema,Yes Indigenous,Degree = Yes,0,32,32
NSW,3,40-44 years,Male,Non-Indigenous,Degree = No,203,3570,3773
NSW,3,40-44 years,Male,Non-Indigenous,Degree = Yes,10,811,821
NSW,3,40-44 years,Male,Not stated,Degree = No,4,34,38
NSW,3,40-44 years,Male,Not stated,Degree = Yes,0,3,3
NSW,3,40-44 years,Male,Yes Indigenous,Degree = No,19,175,194
NSW,3,40-44 years,Male,Yes Indigenous,Degree = Yes,0,9,9
NSW,3,45-49 years,Fema,Non-Indigenous,Degree = No,162,3384,3546
NSW,3,45-49 years,Fema,Non-Indigenous,Degree = Yes,13,1199,1212
NSW,3,45-49 years,Fema,Not stated,Degree = No,0,35,35
NSW,3,45-49 years,Fema,Not stated,Degree = Yes,0,6,6
NSW,3,45-49 years,Fema,Yes Indigenous,Degree = No,15,155,170
NSW,3,45-49 years,Fema,Yes Indigenous,Degree = Yes,0,29,29
NSW,3,45-49 years,Male,Non-Indigenous,Degree = No,201,3846,4047
NSW,3,45-49 years,Male,Non-Indigenous,Degree = Yes,13,747,760
NSW,3,45-49 years,Male,Not stated,Degree = No,7,50,57
NSW,3,45-49 years,Male,Yes Indigenous,Degree = No,40,187,227
NSW,3,45-49 years,Male,Yes Indigenous,Degree = Yes,0,6,6
NSW,3,50-54 years,Fema,Non-Indigenous,Degree = No,190,3614,3804
NSW,3,50-54 years,Fema,Non-Indigenous,Degree = Yes,24,976,1000
NSW,3,50-54 years,Fema,Not stated,Degree = No,0,18,18
NSW,3,50-54 years,Fema,Yes Indigenous,Degree = No,3,138,141
NSW,3,50-54 years,Fema,Yes Indigenous,Degree = Yes,0,19,19
NSW,3,50-54 years,Male,Non-Indigenous,Degree = No,201,4024,4225
NSW,3,50-54 years,Male,Non-Indigenous,Degree = Yes,19,633,652
NSW,3,50-54 years,Male,Not stated,Degree = No,7,41,48
NSW,3,50-54 years,Male,Yes Indigenous,Degree = No,18,132,150
NSW,3,50-54 years,Male,Yes Indigenous,Degree = Yes,0,8,8
NSW,3,55-59 years,Fema,Non-Indigenous,Degree = No,116,3228,3344
NSW,3,55-59 years,Fema,Non-Indigenous,Degree = Yes,15,974,989
NSW,3,55-59 years,Fema,Not stated,Degree = No,0,13,13
NSW,3,55-59 years,Fema,Not stated,Degree = Yes,0,4,4
NSW,3,55-59 years,Fema,Yes Indigenous,Degree = No,6,100,106
NSW,3,55-59 years,Fema,Yes Indigenous,Degree = Yes,0,6,6
NSW,3,55-59 years,Male,Non-Indigenous,Degree = No,229,3924,4153
NSW,3,55-59 years,Male,Non-Indigenous,Degree = Yes,13,632,645
NSW,3,55-59 years,Male,Not stated,Degree = No,7,32,39
NSW,3,55-59 years,Male,Yes Indigenous,Degree = No,8,116,124
NSW,3,55-59 years,Male,Yes Indigenous,Degree = Yes,0,7,7
NSW,3,60-64 years,Fema,Non-Indigenous,Degree = No,102,2194,2296
NSW,3,60-64 years,Fema,Non-Indigenous,Degree = Yes,5,588,593
NSW,3,60-64 years,Fema,Not stated,Degree = No,0,14,14
NSW,3,60-64 years,Fema,Not stated,Degree = Yes,0,7,7
NSW,3,60-64 years,Fema,Yes Indigenous,Degree = No,0,46,46
NSW,3,60-64 years,Fema,Yes Indigenous,Degree = Yes,0,5,5
NSW,3,60-64 years,Male,Non-Indigenous,Degree = No,171,2891,3062
NSW,3,60-64 years,Male,Non-Indigenous,Degree = Yes,17,488,505
NSW,3,60-64 years,Male,Not stated,Degree = No,0,21,21
NSW,3,60-64 years,Male,Not stated,Degree = Yes,0,3,3
NSW,3,60-64 years,Male,Yes Indigenous,Degree = No,8,72,80
NSW,3,60-64 years,Male,Yes Indigenous,Degree = Yes,0,4,4
NSW,4,25-29 years,Fema,Non-Indigenous,Degree = No,131,1225,1356
NSW,4,25-29 years,Fema,Non-Indigenous,Degree = Yes,26,582,608
NSW,4,25-29 years,Fema,Yes Indigenous,Degree = No,29,68,97
NSW,4,25-29 years,Fema,Yes Indigenous,Degree = Yes,0,10,10
NSW,4,25-29 years,Male,Non-Indigenous,Degree = No,176,1712,1888
NSW,4,25-29 years,Male,Non-Indigenous,Degree = Yes,11,332,343
NSW,4,25-29 years,Male,Not stated,Degree = No,3,3,6
NSW,4,25-29 years,Male,Yes Indigenous,Degree = No,22,114,136
NSW,4,25-29 years,Male,Yes Indigenous,Degree = Yes,4,14,18
NSW,4,30-34 years,Fema,Non-Indigenous,Degree = No,127,1261,1388
NSW,4,30-34 years,Fema,Non-Indigenous,Degree = Yes,26,693,719
NSW,4,30-34 years,Fema,Not stated,Degree = No,0,7,7
NSW,4,30-34 years,Fema,Yes Indigenous,Degree = No,14,54,68
NSW,4,30-34 years,Fema,Yes Indigenous,Degree = Yes,0,20,20
NSW,4,30-34 years,Male,Non-Indigenous,Degree = No,138,1807,1945
NSW,4,30-34 years,Male,Non-Indigenous,Degree = Yes,12,402,414
NSW,4,30-34 years,Male,Not stated,Degree = No,4,0,4
NSW,4,30-34 years,Male,Yes Indigenous,Degree = No,23,84,107
NSW,4,30-34 years,Male,Yes Indigenous,Degree = Yes,0,5,5
NSW,4,35-39 years,Fema,Non-Indigenous,Degree = No,139,1439,1578
NSW,4,35-39 years,Fema,Non-Indigenous,Degree = Yes,28,725,753
NSW,4,35-39 years,Fema,Not stated,Degree = No,0,9,9
NSW,4,35-39 years,Fema,Yes Indigenous,Degree = No,14,88,102
NSW,4,35-39 years,Fema,Yes Indigenous,Degree = Yes,0,15,15
NSW,4,35-39 years,Male,Non-Indigenous,Degree = No,118,1808,1926
NSW,4,35-39 years,Male,Non-Indigenous,Degree = Yes,7,465,472
NSW,4,35-39 years,Male,Not stated,Degree = No,0,4,4
NSW,4,35-39 years,Male,Yes Indigenous,Degree = No,23,56,79
NSW,4,35-39 years,Male,Yes Indigenous,Degree = Yes,0,3,3
NSW,4,40-44 years,Fema,Non-Indigenous,Degree = No,102,1875,1977
NSW,4,40-44 years,Fema,Non-Indigenous,Degree = Yes,22,897,919
NSW,4,40-44 years,Fema,Not stated,Degree = No,0,15,15
NSW,4,40-44 years,Fema,Not stated,Degree = Yes,0,9,9
NSW,4,40-44 years,Fema,Yes Indigenous,Degree = No,9,86,95
NSW,4,40-44 years,Fema,Yes Indigenous,Degree = Yes,0,20,20
NSW,4,40-44 years,Male,Non-Indigenous,Degree = No,163,2149,2312
NSW,4,40-44 years,Male,Non-Indigenous,Degree = Yes,9,599,608
NSW,4,40-44 years,Male,Not stated,Degree = No,0,3,3
NSW,4,40-44 years,Male,Yes Indigenous,Degree = No,28,54,82
NSW,4,40-44 years,Male,Yes Indigenous,Degree = Yes,0,3,3
NSW,4,45-49 years,Fema,Non-Indigenous,Degree = No,122,2320,2442
NSW,4,45-49 years,Fema,Non-Indigenous,Degree = Yes,40,788,828
NSW,4,45-49 years,Fema,Not stated,Degree = No,0,30,30
NSW,4,45-49 years,Fema,Not stated,Degree = Yes,0,7,7
NSW,4,45-49 years,Fema,Yes Indigenous,Degree = No,6,91,97
NSW,4,45-49 years,Fema,Yes Indigenous,Degree = Yes,0,22,22
NSW,4,45-49 years,Male,Non-Indigenous,Degree = No,139,2201,2340
NSW,4,45-49 years,Male,Non-Indigenous,Degree = Yes,25,514,539
NSW,4,45-49 years,Male,Not stated,Degree = No,0,16,16
NSW,4,45-49 years,Male,Yes Indigenous,Degree = No,11,90,101
NSW,4,45-49 years,Male,Yes Indigenous,Degree = Yes,0,6,6
NSW,4,50-54 years,Fema,Non-Indigenous,Degree = No,143,2512,2655
NSW,4,50-54 years,Fema,Non-Indigenous,Degree = Yes,29,666,695
NSW,4,50-54 years,Fema,Not stated,Degree = No,0,15,15
NSW,4,50-54 years,Fema,Not stated,Degree = Yes,0,3,3
NSW,4,50-54 years,Fema,Yes Indigenous,Degree = No,5,63,68
NSW,4,50-54 years,Fema,Yes Indigenous,Degree = Yes,0,13,13
NSW,4,50-54 years,Male,Non-Indigenous,Degree = No,197,2572,2769
NSW,4,50-54 years,Male,Non-Indigenous,Degree = Yes,11,424,435
NSW,4,50-54 years,Male,Not stated,Degree = No,0,15,15
NSW,4,50-54 years,Male,Yes Indigenous,Degree = No,0,55,55
NSW,4,55-59 years,Fema,Non-Indigenous,Degree = No,144,2400,2544
NSW,4,55-59 years,Fema,Non-Indigenous,Degree = Yes,22,759,781
NSW,4,55-59 years,Fema,Not stated,Degree = No,0,14,14
NSW,4,55-59 years,Fema,Not stated,Degree = Yes,0,6,6
NSW,4,55-59 years,Fema,Yes Indigenous,Degree = No,6,46,52
NSW,4,55-59 years,Fema,Yes Indigenous,Degree = Yes,0,21,21
NSW,4,55-59 years,Male,Non-Indigenous,Degree = No,208,2454,2662
NSW,4,55-59 years,Male,Non-Indigenous,Degree = Yes,13,510,523
NSW,4,55-59 years,Male,Not stated,Degree = No,0,11,11
NSW,4,55-59 years,Male,Yes Indigenous,Degree = No,0,48,48
NSW,4,55-59 years,Male,Yes Indigenous,Degree = Yes,0,13,13
NSW,4,60-64 years,Fema,Non-Indigenous,Degree = No,95,1539,1634
NSW,4,60-64 years,Fema,Non-Indigenous,Degree = Yes,21,512,533
NSW,4,60-64 years,Fema,Not stated,Degree = No,0,13,13
NSW,4,60-64 years,Fema,Yes Indigenous,Degree = No,0,19,19
NSW,4,60-64 years,Fema,Yes Indigenous,Degree = Yes,0,5,5
NSW,4,60-64 years,Male,Non-Indigenous,Degree = No,168,1950,2118
NSW,4,60-64 years,Male,Non-Indigenous,Degree = Yes,20,360,380
NSW,4,60-64 years,Male,Not stated,Degree = No,0,21,21
NSW,4,60-64 years,Male,Not stated,Degree = Yes,0,4,4
NSW,4,60-64 years,Male,Yes Indigenous,Degree = No,3,20,23
NSW,4,60-64 years,Male,Yes Indigenous,Degree = Yes,0,4,4
NSW,5,25-29 years,Fema,Non-Indigenous,Degree = No,73,1234,1307
NSW,5,25-29 years,Fema,Non-Indigenous,Degree = Yes,27,824,851
NSW,5,25-29 years,Fema,Not stated,Degree = No,0,3,3
NSW,5,25-29 years,Fema,Not stated,Degree = Yes,0,6,6
NSW,5,25-29 years,Fema,Yes Indigenous,Degree = No,60,232,292
NSW,5,25-29 years,Fema,Yes Indigenous,Degree = Yes,0,40,40
NSW,5,25-29 years,Male,Non-Indigenous,Degree = No,126,1716,1842
NSW,5,25-29 years,Male,Non-Indigenous,Degree = Yes,8,372,380
NSW,5,25-29 years,Male,Not stated,Degree = No,0,19,19
NSW,5,25-29 years,Male,Yes Indigenous,Degree = No,94,295,389
NSW,5,25-29 years,Male,Yes Indigenous,Degree = Yes,0,14,14
NSW,5,30-34 years,Fema,Non-Indigenous,Degree = No,75,1214,1289
NSW,5,30-34 years,Fema,Non-Indigenous,Degree = Yes,20,775,795
NSW,5,30-34 years,Fema,Not stated,Degree = Yes,0,4,4
NSW,5,30-34 years,Fema,Yes Indigenous,Degree = No,50,187,237
NSW,5,30-34 years,Fema,Yes Indigenous,Degree = Yes,0,35,35
NSW,5,30-34 years,Male,Non-Indigenous,Degree = No,89,1658,1747
NSW,5,30-34 years,Male,Non-Indigenous,Degree = Yes,8,456,464
NSW,5,30-34 years,Male,Not stated,Degree = No,3,21,24
NSW,5,30-34 years,Male,Yes Indigenous,Degree = No,74,239,313
NSW,5,30-34 years,Male,Yes Indigenous,Degree = Yes,0,8,8
NSW,5,35-39 years,Fema,Non-Indigenous,Degree = No,84,1151,1235
NSW,5,35-39 years,Fema,Non-Indigenous,Degree = Yes,11,684,695
NSW,5,35-39 years,Fema,Not stated,Degree = No,0,10,10
NSW,5,35-39 years,Fema,Yes Indigenous,Degree = No,33,190,223
