state,sa4_code,Age,Sex,Indig,Educ,LFS_Status,Count
NSW,1,60-64 years,Fema,Yes Indigenous,Degree = Yes,employed,3
NSW,1,60-64 years,Male,Non-Indigenous,Degree = No,employed,3214
NSW,1,60-64 years,Male,Non-Indigenous,Degree = No,unemployed,201
NSW,1,60-64 years,Male,Non-Indigenous,Degree = Yes,employed,768
NSW,1,60-64 years,Male,Non-Indigenous,Degree = Yes,unemployed,38
NSW,1,60-64 years,Male,Not stated,Degree = No,employed,37
NSW,1,60-64 years,Male,Not stated,Degree = Yes,employed,5
NSW,1,60-64 years,Male,Yes Indigenous,Degree = No,employed,41
NSW,1,60-64 years,Male,Yes Indigenous,Degree = Yes,employed,7
NSW,2,25-29 years,Fema,Non-Indigenous,Degree = No,employed,3863
NSW,2,25-29 years,Fema,Non-Indigenous,Degree = No,unemployed,345
NSW,2,25-29 years,Fema,Non-Indigenous,Degree = Yes,employed,1847
NSW,2,25-29 years,Fema,Non-Indigenous,Degree = Yes,unemployed,51
NSW,2,25-29 years,Fema,Not stated,Degree = No,employed,20
NSW,2,25-29 years,Fema,Not stated,Degree = Yes,employed,11
NSW,2,25-29 years,Fema,Yes Indigenous,Degree = No,employed,184
NSW,2,25-29 years,Fema,Yes Indigenous,Degree = No,unemployed,24
NSW,2,25-29 years,Fema,Yes Indigenous,Degree = Yes,employed,34
NSW,2,25-29 years,Male,Non-Indigenous,Degree = No,employed,5313
NSW,2,25-29 years,Male,Non-Indigenous,Degree = No,unemployed,418
NSW,2,25-29 years,Male,Non-Indigenous,Degree = Yes,employed,1041
NSW,2,25-29 years,Male,Non-Indigenous,Degree = Yes,unemployed,44
NSW,2,25-29 years,Male,Not stated,Degree = No,employed,24
NSW,2,25-29 years,Male,Not stated,Degree = No,unemployed,3
NSW,2,25-29 years,Male,Not stated,Degree = Yes,employed,4
NSW,2,25-29 years,Male,Yes Indigenous,Degree = No,employed,276
NSW,2,25-29 years,Male,Yes Indigenous,Degree = No,unemployed,40
NSW,2,25-29 years,Male,Yes Indigenous,Degree = Yes,employed,12
NSW,2,30-34 years,Fema,Non-Indigenous,Degree = No,employed,3876
NSW,2,30-34 years,Fema,Non-Indigenous,Degree = No,unemployed,331
NSW,2,30-34 years,Fema,Non-Indigenous,Degree = Yes,employed,2186
NSW,2,30-34 years,Fema,Non-Indigenous,Degree = Yes,unemployed,62
NSW,2,30-34 years,Fema,Not stated,Degree = No,employed,27
NSW,2,30-34 years,Fema,Not stated,Degree = Yes,employed,4
NSW,2,30-34 years,Fema,Yes Indigenous,Degree = No,employed,143
NSW,2,30-34 years,Fema,Yes Indigenous,Degree = No,unemployed,15
NSW,2,30-34 years,Fema,Yes Indigenous,Degree = Yes,employed,43
NSW,2,30-34 years,Male,Non-Indigenous,Degree = No,employed,5561
NSW,2,30-34 years,Male,Non-Indigenous,Degree = No,unemployed,303
NSW,2,30-34 years,Male,Non-Indigenous,Degree = Yes,employed,1372
NSW,2,30-34 years,Male,Non-Indigenous,Degree = Yes,unemployed,36
NSW,2,30-34 years,Male,Not stated,Degree = No,employed,49
NSW,2,30-34 years,Male,Not stated,Degree = No,unemployed,3
NSW,2,30-34 years,Male,Not stated,Degree = Yes,employed,3
NSW,2,30-34 years,Male,Yes Indigenous,Degree = No,employed,221
NSW,2,30-34 years,Male,Yes Indigenous,Degree = No,unemployed,23
NSW,2,30-34 years,Male,Yes Indigenous,Degree = Yes,employed,15
NSW,2,35-39 years,Fema,Non-Indigenous,Degree = No,employed,4133
NSW,2,35-39 years,Fema,Non-Indigenous,Degree = No,unemployed,324
NSW,2,35-39 years,Fema,Non-Indigenous,Degree = Yes,employed,2153
NSW,2,35-39 years,Fema,Non-Indigenous,Degree = Yes,unemployed,69
NSW,2,35-39 years,Fema,Not stated,Degree = No,employed,11
NSW,2,35-39 years,Fema,Not stated,Degree = Yes,employed,4
NSW,2,35-39 years,Fema,Yes Indigenous,Degree = No,employed,153
NSW,2,35-39 years,Fema,Yes Indigenous,Degree = No,unemployed,23
NSW,2,35-39 years,Fema,Yes Indigenous,Degree = Yes,employed,40
NSW,2,35-39 years,Male,Non-Indigenous,Degree = No,employed,5704
NSW,2,35-39 years,Male,Non-Indigenous,Degree = No,unemployed,261
NSW,2,35-39 years,Male,Non-Indigenous,Degree = Yes,employed,1439
NSW,2,35-39 years,Male,Non-Indigenous,Degree = Yes,unemployed,21
NSW,2,35-39 years,Male,Not stated,Degree = No,employed,27
NSW,2,35-39 years,Male,Not stated,Degree = Yes,employed,7
NSW,2,35-39 years,Male,Yes Indigenous,Degree = No,employed,182
NSW,2,35-39 years,Male,Yes Indigenous,Degree = No,unemployed,27
NSW,2,35-39 years,Male,Yes Indigenous,Degree = Yes,employed,16
NSW,2,40-44 years,Fema,Non-Indigenous,Degree = No,employed,5254
NSW,2,40-44 years,Fema,Non-Indigenous,Degree = No,unemployed,332
NSW,2,40-44 years,Fema,Non-Indigenous,Degree = Yes,employed,2223
NSW,2,40-44 years,Fema,Non-Indigenous,Degree = Yes,unemployed,84
NSW,2,40-44 years,Fema,Not stated,Degree = No,employed,30
NSW,2,40-44 years,Fema,Not stated,Degree = Yes,employed,15
NSW,2,40-44 years,Fema,Yes Indigenous,Degree = No,employed,136
NSW,2,40-44 years,Fema,Yes Indigenous,Degree = No,unemployed,12
NSW,2,40-44 years,Fema,Yes Indigenous,Degree = Yes,employed,47
NSW,2,40-44 years,Male,Non-Indigenous,Degree = No,employed,6340
NSW,2,40-44 years,Male,Non-Indigenous,Degree = No,unemployed,313
NSW,2,40-44 years,Male,Non-Indigenous,Degree = Yes,employed,1593
NSW,2,40-44 years,Male,Non-Indigenous,Degree = Yes,unemployed,36
NSW,2,40-44 years,Male,Not stated,Degree = No,employed,33
NSW,2,40-44 years,Male,Not stated,Degree = No,unemployed,5
NSW,2,40-44 years,Male,Yes Indigenous,Degree = No,employed,167
NSW,2,40-44 years,Male,Yes Indigenous,Degree = No,unemployed,25
NSW,2,40-44 years,Male,Yes Indigenous,Degree = Yes,employed,18
NSW,2,45-49 years,Fema,Non-Indigenous,Degree = No,employed,6030
NSW,2,45-49 years,Fema,Non-Indigenous,Degree = No,unemployed,327
NSW,2,45-49 years,Fema,Non-Indigenous,Degree = Yes,employed,1950
NSW,2,45-49 years,Fema,Non-Indigenous,Degree = Yes,unemployed,62
NSW,2,45-49 years,Fema,Not stated,Degree = No,employed,47
NSW,2,45-49 years,Fema,Not stated,Degree = Yes,employed,11
NSW,2,45-49 years,Fema,Yes Indigenous,Degree = No,employed,181
NSW,2,45-49 years,Fema,Yes Indigenous,Degree = No,unemployed,8
NSW,2,45-49 years,Fema,Yes Indigenous,Degree = Yes,employed,28
NSW,2,45-49 years,Male,Non-Indigenous,Degree = No,employed,6642
NSW,2,45-49 years,Male,Non-Indigenous,Degree = No,unemployed,324
NSW,2,45-49 years,Male,Non-Indigenous,Degree = Yes,employed,1348
NSW,2,45-49 years,Male,Non-Indigenous,Degree = Yes,unemployed,41
NSW,2,45-49 years,Male,Not stated,Degree = No,employed,43
NSW,2,45-49 years,Male,Yes Indigenous,Degree = No,employed,163
NSW,2,45-49 years,Male,Yes Indigenous,Degree = No,unemployed,13
NSW,2,45-49 years,Male,Yes Indigenous,Degree = Yes,employed,16
NSW,2,50-54 years,Fema,Non-Indigenous,Degree = No,employed,6044
NSW,2,50-54 years,Fema,Non-Indigenous,Degree = No,unemployed,356
NSW,2,50-54 years,Fema,Non-Indigenous,Degree = Yes,employed,1608
NSW,2,50-54 years,Fema,Non-Indigenous,Degree = Yes,unemployed,54
NSW,2,50-54 years,Fema,Not stated,Degree = No,employed,48
NSW,2,50-54 years,Fema,Not stated,Degree = Yes,employed,3
NSW,2,50-54 years,Fema,Yes Indigenous,Degree = No,employed,170
NSW,2,50-54 years,Fema,Yes Indigenous,Degree = No,unemployed,25
NSW,2,50-54 years,Fema,Yes Indigenous,Degree = Yes,employed,21
NSW,2,50-54 years,Male,Non-Indigenous,Degree = No,employed,6750
NSW,2,50-54 years,Male,Non-Indigenous,Degree = No,unemployed,346
NSW,2,50-54 years,Male,Non-Indigenous,Degree = Yes,employed,1189
NSW,2,50-54 years,Male,Non-Indigenous,Degree = Yes,unemployed,50
NSW,2,50-54 years,Male,Not stated,Degree = No,employed,37
NSW,2,50-54 years,Male,Yes Indigenous,Degree = No,employed,157
NSW,2,50-54 years,Male,Yes Indigenous,Degree = No,unemployed,11
NSW,2,50-54 years,Male,Yes Indigenous,Degree = Yes,employed,15
NSW,2,55-59 years,Fema,Non-Indigenous,Degree = No,employed,5509
NSW,2,55-59 years,Fema,Non-Indigenous,Degree = No,unemployed,300
NSW,2,55-59 years,Fema,Non-Indigenous,Degree = Yes,employed,1539
NSW,2,55-59 years,Fema,Non-Indigenous,Degree = Yes,unemployed,35
NSW,2,55-59 years,Fema,Not stated,Degree = No,employed,34
NSW,2,55-59 years,Fema,Not stated,Degree = Yes,employed,3
NSW,2,55-59 years,Fema,Yes Indigenous,Degree = No,employed,107
NSW,2,55-59 years,Fema,Yes Indigenous,Degree = Yes,employed,11
NSW,2,55-59 years,Male,Non-Indigenous,Degree = No,employed,5984
NSW,2,55-59 years,Male,Non-Indigenous,Degree = No,unemployed,335
NSW,2,55-59 years,Male,Non-Indigenous,Degree = Yes,employed,1126
NSW,2,55-59 years,Male,Non-Indigenous,Degree = Yes,unemployed,63
NSW,2,55-59 years,Male,Not stated,Degree = No,employed,43
NSW,2,55-59 years,Male,Yes Indigenous,Degree = No,employed,109
NSW,2,55-59 years,Male,Yes Indigenous,Degree = No,unemployed,4
NSW,2,55-59 years,Male,Yes Indigenous,Degree = Yes,employed,13
NSW,2,60-64 years,Fema,Non-Indigenous,Degree = No,employed,3476
NSW,2,60-64 years,Fema,Non-Indigenous,Degree = No,unemployed,173
NSW,2,60-64 years,Fema,Non-Indigenous,Degree = Yes,employed,913
NSW,2,60-64 years,Fema,Non-Indigenous,Degree = Yes,unemployed,38
NSW,2,60-64 years,Fema,Not stated,Degree = No,employed,27
NSW,2,60-64 years,Fema,Yes Indigenous,Degree = No,employed,35
NSW,2,60-64 years,Fema,Yes Indigenous,Degree = Yes,employed,8
NSW,2,60-64 years,Male,Non-Indigenous,Degree = No,employed,3919
NSW,2,60-64 years,Male,Non-Indigenous,Degree = No,unemployed,307
NSW,2,60-64 years,Male,Non-Indigenous,Degree = Yes,employed,881
NSW,2,60-64 years,Male,Non-Indigenous,Degree = Yes,unemployed,59
NSW,2,60-64 years,Male,Not stated,Degree = No,employed,33
NSW,2,60-64 years,Male,Yes Indigenous,Degree = No,employed,50
NSW,2,60-64 years,Male,Yes Indigenous,Degree = No,unemployed,8
NSW,2,60-64 years,Male,Yes Indigenous,Degree = Yes,employed,4
NSW,3,25-29 years,Fema,Non-Indigenous,Degree = No,employed,2143
NSW,3,25-29 years,Fema,Non-Indigenous,Degree = No,unemployed,197
NSW,3,25-29 years,Fema,Non-Indigenous,Degree = Yes,employed,1252
NSW,3,25-29 years,Fema,Non-Indigenous,Degree = Yes,unemployed,22
NSW,3,25-29 years,Fema,Not stated,Degree = No,employed,15
NSW,3,25-29 years,Fema,Yes Indigenous,Degree = No,employed,181
NSW,3,25-29 years,Fema,Yes Indigenous,Degree = No,unemployed,36
NSW,3,25-29 years,Fema,Yes Indigenous,Degree = Yes,employed,16
NSW,3,25-29 years,Male,Non-Indigenous,Degree = No,employed,3398
NSW,3,25-29 years,Male,Non-Indigenous,Degree = No,unemployed,229
NSW,3,25-29 years,Male,Non-Indigenous,Degree = Yes,employed,600
NSW,3,25-29 years,Male,Non-Indigenous,Degree = Yes,unemployed,23
NSW,3,25-29 years,Male,Not stated,Degree = No,employed,32
NSW,3,25-29 years,Male,Not stated,Degree = Yes,employed,3
NSW,3,25-29 years,Male,Yes Indigenous,Degree = No,employed,245
NSW,3,25-29 years,Male,Yes Indigenous,Degree = No,unemployed,48
NSW,3,25-29 years,Male,Yes Indigenous,Degree = Yes,employed,7
NSW,3,30-34 years,Fema,Non-Indigenous,Degree = No,employed,2254
NSW,3,30-34 years,Fema,Non-Indigenous,Degree = No,unemployed,169
NSW,3,30-34 years,Fema,Non-Indigenous,Degree = Yes,employed,1393
NSW,3,30-34 years,Fema,Non-Indigenous,Degree = Yes,unemployed,31
NSW,3,30-34 years,Fema,Not stated,Degree = No,employed,7
NSW,3,30-34 years,Fema,Not stated,Degree = Yes,employed,5
NSW,3,30-34 years,Fema,Yes Indigenous,Degree = No,employed,148
NSW,3,30-34 years,Fema,Yes Indigenous,Degree = No,unemployed,35
NSW,3,30-34 years,Fema,Yes Indigenous,Degree = Yes,employed,40
NSW,3,30-34 years,Male,Non-Indigenous,Degree = No,employed,3454
NSW,3,30-34 years,Male,Non-Indigenous,Degree = No,unemployed,201
NSW,3,30-34 years,Male,Non-Indigenous,Degree = Yes,employed,751
NSW,3,30-34 years,Male,Non-Indigenous,Degree = Yes,unemployed,15
NSW,3,30-34 years,Male,Not stated,Degree = No,employed,31
NSW,3,30-34 years,Male,Not stated,Degree = Yes,employed,3
NSW,3,30-34 years,Male,Yes Indigenous,Degree = No,employed,169
NSW,3,30-34 years,Male,Yes Indigenous,Degree = No,unemployed,33
NSW,3,30-34 years,Male,Yes Indigenous,Degree = Yes,employed,7
NSW,3,35-39 years,Fema,Non-Indigenous,Degree = No,employed,2284
NSW,3,35-39 years,Fema,Non-Indigenous,Degree = No,unemployed,196
NSW,3,35-39 years,Fema,Non-Indigenous,Degree = Yes,employed,1370
NSW,3,35-39 years,Fema,Non-Indigenous,Degree = Yes,unemployed,20
NSW,3,35-39 years,Fema,Not stated,Degree = No,employed,16
NSW,3,35-39 years,Fema,Not stated,Degree = Yes,employed,5
NSW,3,35-39 years,Fema,Yes Indigenous,Degree = No,employed,134
NSW,3,35-39 years,Fema,Yes Indigenous,Degree = No,unemployed,34
NSW,3,35-39 years,Fema,Yes Indigenous,Degree = Yes,employed,16
NSW,3,35-39 years,Male,Non-Indigenous,Degree = No,employed,3270
NSW,3,35-39 years,Male,Non-Indigenous,Degree = No,unemployed,180
NSW,3,35-39 years,Male,Non-Indigenous,Degree = Yes,employed,719
NSW,3,35-39 years,Male,Non-Indigenous,Degree = Yes,unemployed,12
NSW,3,35-39 years,Male,Not stated,Degree = No,employed,31
NSW,3,35-39 years,Male,Not stated,Degree = Yes,employed,4
NSW,3,35-39 years,Male,Yes Indigenous,Degree = No,employed,153
NSW,3,35-39 years,Male,Yes Indigenous,Degree = No,unemployed,20
NSW,3,35-39 years,Male,Yes Indigenous,Degree = Yes,employed,4
NSW,3,40-44 years,Fema,Non-Indigenous,Degree = No,employed,2947
NSW,3,40-44 years,Fema,Non-Indigenous,Degree = No,unemployed,158
NSW,3,40-44 years,Fema,Non-Indigenous,Degree = Yes,employed,1391
NSW,3,40-44 years,Fema,Non-Indigenous,Degree = Yes,unemployed,24
NSW,3,40-44 years,Fema,Not stated,Degree = No,employed,17
NSW,3,40-44 years,Fema,Not stated,Degree = Yes,employed,3
NSW,3,40-44 years,Fema,Yes Indigenous,Degree = No,employed,173
NSW,3,40-44 years,Fema,Yes Indigenous,Degree = No,unemployed,33
NSW,3,40-44 years,Fema,Yes Indigenous,Degree = Yes,employed,32
NSW,3,40-44 years,Male,Non-Indigenous,Degree = No,employed,3570
NSW,3,40-44 years,Male,Non-Indigenous,Degree = No,unemployed,203
NSW,3,40-44 years,Male,Non-Indigenous,Degree = Yes,employed,811
NSW,3,40-44 years,Male,Non-Indigenous,Degree = Yes,unemployed,10
NSW,3,40-44 years,Male,Not stated,Degree = No,employed,34
NSW,3,40-44 years,Male,Not stated,Degree = No,unemployed,4
NSW,3,40-44 years,Male,Not stated,Degree = Yes,employed,3
NSW,3,40-44 years,Male,Yes Indigenous,Degree = No,employed,175
NSW,3,40-44 years,Male,Yes Indigenous,Degree = No,unemployed,19
NSW,3,40-44 years,Male,Yes Indigenous,Degree = Yes,employed,9
NSW,3,45-49 years,Fema,Non-Indigenous,Degree = No,employed,3384
NSW,3,45-49 years,Fema,Non-Indigenous,Degree = No,unemployed,162
NSW,3,45-49 years,Fema,Non-Indigenous,Degree = Yes,employed,1199
NSW,3,45-49 years,Fema,Non-Indigenous,Degree = Yes,unemployed,13
NSW,3,45-49 years,Fema,Not stated,Degree = No,employed,35
NSW,3,45-49 years,Fema,Not stated,Degree = Yes,employed,6
NSW,3,45-49 years,Fema,Yes Indigenous,Degree = No,employed,155
NSW,3,45-49 years,Fema,Yes Indigenous,Degree = No,unemployed,15
NSW,3,45-49 years,Fema,Yes Indigenous,Degree = Yes,employed,29
NSW,3,45-49 years,Male,Non-Indigenous,Degree = No,employed,3846
NSW,3,45-49 years,Male,Non-Indigenous,Degree = No,unemployed,201
NSW,3,45-49 years,Male,Non-Indigenous,Degree = Yes,employed,747
NSW,3,45-49 years,Male,Non-Indigenous,Degree = Yes,unemployed,13
NSW,3,45-49 years,Male,Not stated,Degree = No,employed,50
NSW,3,45-49 years,Male,Not stated,Degree = No,unemployed,7
NSW,3,45-49 years,Male,Yes Indigenous,Degree = No,employed,187
NSW,3,45-49 years,Male,Yes Indigenous,Degree = No,unemployed,40
NSW,3,45-49 years,Male,Yes Indigenous,Degree = Yes,employed,6
NSW,3,50-54 years,Fema,Non-Indigenous,Degree = No,employed,3614
NSW,3,50-54 years,Fema,Non-Indigenous,Degree = No,unemployed,190
NSW,3,50-54 years,Fema,Non-Indigenous,Degree = Yes,employed,976
NSW,3,50-54 years,Fema,Non-Indigenous,Degree = Yes,unemployed,24
NSW,3,50-54 years,Fema,Not stated,Degree = No,employed,18
NSW,3,50-54 years,Fema,Yes Indigenous,Degree = No,employed,138
NSW,3,50-54 years,Fema,Yes Indigenous,Degree = No,unemployed,3
NSW,3,50-54 years,Fema,Yes Indigenous,Degree = Yes,employed,19
NSW,3,50-54 years,Male,Non-Indigenous,Degree = No,employed,4024
NSW,3,50-54 years,Male,Non-Indigenous,Degree = No,unemployed,201
NSW,3,50-54 years,Male,Non-Indigenous,Degree = Yes,employed,633
NSW,3,50-54 years,Male,Non-Indigenous,Degree = Yes,unemployed,19
NSW,3,50-54 years,Male,Not stated,Degree = No,employed,41
NSW,3,50-54 years,Male,Not stated,Degree = No,unemployed,7
NSW,3,50-54 years,Male,Yes Indigenous,Degree = No,employed,132
